mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.07651939392089843,0.007191419690127114,0.011222171783447265,0.01340696372544977,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-10.687825232499993,-10.084247928969914,-7.816178464988423,-5.121194599068398,-9.343078898584892,-8.610505024822324,1.9914860684525746,12,-1.0820070273364508,-1.134218424582361,-1.1627064964223188,-1.3030087480552341,-1.1677437821162788,-1.1699368957025287,0.07317469130727061
0.27608661651611327,0.061413660285372464,0.039191579818725585,0.03473359957649166,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-10.624053858197298,-10.122852095133137,-7.9010685980902915,-5.139657560911432,-9.073192413661577,-8.572164905198747,1.9543993718122987,5,-1.133696098850763,-1.1655826553365969,-1.1582547752445993,-1.2617359028936457,-1.1190041895196232,-1.1676547243690458,0.049927914946292125
0.30857219696044924,0.04187981551836244,0.012284660339355468,0.0029609796551279374,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-10.665028576420994,-10.008322777354735,-7.977116370145338,-5.18402860185723,-9.198368516972,-8.60657296855006,1.9319621910610638,11,-1.1260852779886994,-1.1584719136704877,-1.137174460093766,-1.2377133751282923,-1.1210318815351983,-1.1560953816832886,0.042790656453171705
0.41582298278808594,0.02594308210172114,0.016929817199707032,0.0024241380009729398,,sqrt,1,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-10.616428757466682,-10.015046272136578,-8.168039469178183,-5.212049163763331,-9.171179999156623,-8.636548732340279,1.9001425839883184,22,-1.125142311059792,-1.180949924672302,-1.134170302520418,-1.241956894554014,-1.1130590745241762,-1.1590557014661402,0.0474068679513286
0.07647643089294434,0.012393173152501208,0.005652141571044922,0.0019720869141143537,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-10.638265750278208,-10.05622146677243,-8.156129864345283,-5.209950662990441,-9.530518417571352,-8.718217232391542,1.9370364678549048,31,-2.51114213243196,-2.479759030960735,-2.5161643324985694,-2.8178787783080295,-2.5864958303946026,-2.5822880209187793,0.12285518631992225
0.1502840518951416,0.023041950051708636,0.008704566955566406,0.0037197195136289,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-10.58229838211311,-9.869991558137398,-8.090245793582442,-5.052564032623454,-9.719702431603043,-8.662960439611888,1.9809316079876573,28,-2.52582761053943,-2.4802210017101953,-2.5279953235167,-2.7276851846847525,-2.4959436930675234,-2.5515345627037203,0.08991101552520826
0.21018462181091307,0.028583896092270442,0.009547805786132813,0.002188343459187661,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-10.814999000492808,-9.962212267550262,-8.174578821869904,-5.138975979672628,-9.727013781332548,-8.763555970183628,2.0028939347121284,38,-2.4936558445087904,-2.5102226721655128,-2.5165680597734026,-2.7190661457877523,-2.518884844289198,-2.5516795133049315,0.08415700212900935
0.3611600399017334,0.060164392001060406,0.013971376419067382,0.00286138014312046,,sqrt,1,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-10.796504816041828,-10.090713504049242,-8.147200065672491,-5.122440339441115,-9.704228117104005,-8.772217368461735,2.020709516775074,42,-2.484259230847534,-2.522145396369034,-2.4892582106024,-2.730496288498046,-2.504922378534075,-2.546216300970218,0.09308771441847051
0.08126463890075683,0.007488312838200159,0.005716562271118164,0.0023592163099295784,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-10.912376947156165,-10.927409336798553,-8.368328383965302,-5.142831045843552,-10.02622524230131,-9.075434191212976,2.175938435384669,150,-4.191439554570467,-4.193734624158984,-4.252271041681143,-4.836942967808101,-4.371046749408084,-4.369086987525356,0.24283578234274994
0.12563676834106446,0.01845789961211123,0.007528829574584961,0.0026665673108061333,,sqrt,1,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-10.652756879239414,-10.818196437634256,-8.652053130443093,-5.197514810839808,-9.89785348964046,-9.043674949559406,2.069493059098322,140,-4.242954977623393,-4.2954077553539545,-4.2811020454357624,-4.827160503453097,-4.362214289760473,-4.401767914325336,0.21615625288028423
0.21436305046081544,0.013600640082344675,0.014898586273193359,0.004874515670584709,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-10.847628192125024,-10.921403612252005,-8.57880351435837,-5.185045508665756,-9.989067001610989,-9.10438956580243,2.133568543750684,166,-4.2288546922586345,-4.2772193770681195,-4.310694390312976,-4.7833428882264535,-4.376139071956579,-4.3952500839645525,0.19987475827636259
0.3597723960876465,0.017871514520148186,0.023204612731933593,0.007197701888106784,,sqrt,1,10,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",-10.987921728188228,-11.050041690602116,-8.611453523713676,-5.2069043578066765,-9.896050089968142,-9.150474278055768,2.1625327681965905,203,-4.247672585057822,-4.297946168345569,-4.323058407325453,-4.794006463603624,-4.351639586518496,-4.402864642170193,0.19853333556928582
0.08168649673461914,0.01058319634392535,0.0030556201934814455,0.0002870981606815181,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-10.853287276714996,-10.914877787491712,-8.225000950212069,-4.993373877833179,-10.46431314057136,-9.090170606564664,2.274144514461354,157,-3.826767493212347,-3.8451787949733767,-3.666584021537119,-4.054710970423639,-3.637166291564884,-3.8060815143422735,0.14950920807143314
0.13975486755371094,0.008776623589681317,0.008222627639770507,0.003972241131060432,,sqrt,2,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-10.685422367685138,-10.839882531590124,-8.309513848102714,-5.2090542478332855,-10.297571776452283,-9.06828895433271,2.132333591068851,146,-3.7513626420461255,-3.9589544350193924,-3.7503574627256913,-3.935019612652399,-3.670459430786207,-3.8132307166459634,0.11334220931877699
0.22689423561096192,0.022189015315771853,0.012120723724365234,0.0023791386970457244,,sqrt,2,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-10.746264484168494,-10.967149527580444,-8.312633865775041,-5.275453164644076,-10.293014949661218,-9.118903198365855,2.13845907376815,186,-3.723392341642273,-3.890339449704621,-3.790475023116039,-3.9241944457815308,-3.6917883218553036,-3.8040379164199534,0.09074489349977577
0.4141554355621338,0.024557327313743587,0.01605544090270996,0.003954352808284281,,sqrt,2,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 500}",-10.908778299595921,-10.935833376206267,-8.378663789359276,-5.189763293231126,-10.156239827494701,-9.113855717177458,2.1710330638992925,178,-3.7418124374696857,-3.9430037989092415,-3.8033580231225956,-3.9937694465679687,-3.6821027278268126,-3.8328092867792605,0.11824658470273255
