mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3238626003265381,0.049644342371418175,0.016597461700439454,0.005118100921722432,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.8311665730041156,-0.6399600101903294,-0.5553910473932613,-0.49544035090146793,-0.6152099515972225,-0.6274335866172793,0.11351281867287742,406,-0.07924900500389413,-0.09164626730789198,-0.08703612893042557,-0.10039274468766135,-0.08839219965083983,-0.08934326911614257,0.006863181594697893
0.6071763515472413,0.10154015713613065,0.03420920372009277,0.008723646542190674,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.8331512122556582,-0.6299774750102891,-0.5529928977530227,-0.4795422784849977,-0.6248904698178724,-0.624110866664368,0.11805992812952147,386,-0.0763451212577881,-0.0881674100254738,-0.08958015234877971,-0.09584222879118197,-0.08647208063582024,-0.08728139861180877,0.006318453232853324
0.9130582809448242,0.1403290168254195,0.057893228530883786,0.023201500716722726,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.8367868220839051,-0.6255721682335975,-0.5505364611654101,-0.466982100138306,-0.6150699176567956,-0.6189894938556029,0.12270813851749335,340,-0.07704780991779135,-0.08790194959707089,-0.08908378366537595,-0.09363453558412285,-0.08547986422480594,-0.08662958859783339,0.0054743694984883545
1.4872432708740235,0.08177634834043182,0.06181559562683105,0.007504293905186721,,sqrt,1,2,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",-0.8306737494625518,-0.621160866946759,-0.547196308779012,-0.47596475657730414,-0.6160490177719593,-0.6182089399075172,0.11868519360662154,336,-0.07614348380062275,-0.08789258855604865,-0.08833976931883493,-0.09356166756899287,-0.08632032431031034,-0.08645156671096191,0.005700336570974091
0.30176339149475095,0.08254965186858211,0.015043926239013673,0.008311102499911766,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.8112109449073259,-0.6400427638367162,-0.5450983326512014,-0.4523510613579554,-0.6214170118731475,-0.6140240229252693,0.11874612469184923,267,-0.13684411669915428,-0.159128496299924,-0.15598935366579458,-0.16799463221753197,-0.15995534454057275,-0.15598238868459552,0.01035615632515301
0.6310765743255615,0.02335043017631803,0.026854181289672853,0.004842294375553742,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.8177850972716801,-0.6184038554822391,-0.5353371329833673,-0.4448042182950061,-0.6314034838639999,-0.6095467575792585,0.12374695423927978,165,-0.1360980196538817,-0.15679006964878645,-0.15486432374597447,-0.1628245114493562,-0.15833896666887437,-0.15378317823337465,0.009224706176098498
1.880122423171997,0.3638621994893973,0.12239842414855957,0.0892099368728142,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-0.8208927592354435,-0.6100594221107952,-0.5458430184556233,-0.4582376393923179,-0.6154879953581387,-0.6101041669104637,0.11971111531211494,185,-0.13730836631814114,-0.15735871078208205,-0.1545736666889499,-0.16148720397324842,-0.15596704783303814,-0.15333899911909193,0.008342224598375794
2.781836175918579,0.5666383397458012,0.06263360977172852,0.012719289667465643,,sqrt,1,5,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",-0.8160442458512961,-0.6074368081319208,-0.5430414724762719,-0.46639738669304653,-0.60743285298434,-0.608070553227375,0.11623590888987125,102,-0.13724740177470218,-0.15800175035036224,-0.15536195745109824,-0.16164539028035976,-0.15536809408189198,-0.15352491878768287,0.008458293497247795
0.48636784553527834,0.07050214977749589,0.02644481658935547,0.023731310271737936,,sqrt,1,10,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.8406199442791338,-0.6359641717881632,-0.5441242228772148,-0.4420974650043393,-0.6169862120111844,-0.6159584031920071,0.1313482930994755,291,-0.23154271964699277,-0.25543675448137243,-0.2569260420583344,-0.27108976471926205,-0.2604269666051396,-0.25508444950222026,0.012980302236153322
0.4651481151580811,0.03261559080184531,0.0334202766418457,0.013531427128754228,,sqrt,1,10,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.836947742945594,-0.616674491934699,-0.5404350166908869,-0.4365792202235913,-0.6184271990749547,-0.6098127341739452,0.13155586111879736,170,-0.2269866999700073,-0.2533145800244292,-0.25731226037413085,-0.2679686861154046,-0.25427061792538375,-0.25197056888187114,0.01353339366438026
