rank,features,n_features,cv_rmse,best_n_estimators,best_max_depth
131,feed_dobi + feed_mi_pct + feed_p_ppm,3,0.979514,500,5
132,feed_dobi + feed_mi_pct + log_feed_p_ppm,3,0.979635,500,5
133,feed_car_pv + feed_mi_pct + log_feed_p_ppm,3,0.980048,500,5
134,feed_car_pv + feed_dobi,2,0.981778,300,5
135,feed_dobi + feed_mi_pct,2,0.984119,500,5
136,feed_car_pv,1,0.99098,100,5
137,feed_car_pv + feed_dobi + feed_mi_pct,3,0.994378,500,5
138,feed_p_ppm,1,0.995065,200,5
139,feed_mi_pct + feed_p_ppm,2,0.997954,500,5
140,log_feed_p_ppm,1,0.999242,200,5
141,feed_mi_pct + log_feed_p_ppm,2,0.999634,300,5
142,feed_car_pv + feed_mi_pct,2,1.000067,100,5
143,feed_mi_pct,1,1.008809,200,5
